3ww3esz,split,question_id,track,topic_area,difficulty_level,difficulty_encoded,question_text,model_answer,student_answer,label,student_word_count,model_word_count,length_ratio,max_score
S05981,test,FE017,Front-End,CSS,hard,2,What is the difference between em and rem units in CSS?,"em is relative to the parent font size. rem is relative to the root element font size, making it more predictable.",Mobile-first responsive design uses min-width media queries.,1,7,21,0.333,10
S01198,train,DA020,Data Analysis,Statistics,hard,2,What is an outlier and how can it be detected?,"An outlier is a data point significantly different from others. It is detected using IQR, z-scores, or box plots.",The central limit theorem only applies to normal distributions.,0,9,19,0.474,10
S07147,train,FE022,Front-End,JavaScript,medium,1,What is an event listener in JavaScript?,An event listener waits for a specific event on an element and executes a callback function when the event occurs.,== and === are completely identical operators in JavaScript.,0,9,20,0.45,10
S00362,train,FE023,Front-End,JavaScript,medium,1,What is the difference between == and === in JavaScript?,"== compares values with type coercion. === compares both value and type without coercion, making it stricter.",JavaScript runs in the browser and can manipulate the HTML DOM.,1,11,17,0.647,10
S05081,test,FE010,Front-End,CSS,easy,0,What is the CSS box model?,"The CSS box model describes rectangular boxes consisting of content, padding, border, and margin from inside out.",Flexbox distributes space and aligns items along one axis.,1,9,17,0.529,10
S01514,test,DA006,Data Analysis,Pandas,medium,1,What is groupby() used for in pandas?,"groupby() splits data into groups, applies a function, and combines results for aggregation.",I know loc and iloc are different but I always mix up which is which.,1,15,13,1.154,10
S03727,train,FE020,Front-End,JavaScript,easy,0,"What is the difference between var, let, and const in JavaScript?",var is function-scoped and hoisted. let is block-scoped and reassignable. const is block-scoped and cannot be reassigned.,The spread operator (...) is only for arrays.,0,8,17,0.471,10
S06212,train,DA023,Data Analysis,SQL,medium,1,What is the difference between WHERE and HAVING in SQL?,"WHERE filters rows before grouping, while HAVING filters groups after a GROUP BY operation.",I know SQL is for databases but I'm only familiar with basic queries.,1,13,14,0.929,10
S04350,train,DA008,Data Analysis,Pandas,hard,2,What is a pivot table and how is it created in pandas?,"A pivot table reshapes data by aggregating values. It is created using pd.pivot_table() with index, columns, and aggfunc parameters.","Handle missing values by identifying with isnull(), removing with dropna(), or filling with fillna() or interpolate().",2,16,19,0.842,10
S01715,test,FE009,Front-End,CSS,easy,0,What is CSS?,"CSS is a stylesheet language used to control the visual presentation of HTML including colors, fonts, and layout.",position:relative is commonly used as a positioning context for children.,1,10,18,0.556,10
S07950,test,FE007,Front-End,HTML,hard,2,What is the difference between GET and POST methods in HTML forms?,GET appends data to the URL for non-sensitive retrieval. POST sends data in the request body for sensitive or large submissions.,HTML is the markup language that creates the structural skeleton of all web pages.,2,14,21,0.667,10
S03494,train,DA018,Data Analysis,Statistics,medium,1,What is the difference between variance and standard deviation?,"Variance is the average of squared differences from the mean. Standard deviation is the square root of variance, in the same units as the data.",Mean is the sum of all values divided by the count.,1,11,25,0.44,10
S02080,test,DA001,Data Analysis,Pandas,medium,1,What is a DataFrame in pandas?,"A DataFrame is a two-dimensional, size-mutable, tabular data structure with labeled axes (rows and columns) in pandas.",groupby() always returns a DataFrame with the same shape.,0,9,17,0.529,10
S00233,train,FE027,Front-End,JavaScript,medium,1,What is the difference between null and undefined in JavaScript?,undefined means a variable is declared but not assigned. null is an intentional assignment representing no value.,Event bubbling means the event propagates up through the DOM tree.,1,11,17,0.647,10
S00760,train,DA017,Data Analysis,Statistics,medium,1,What is correlation and how is it measured?,Correlation measures the linear relationship between two variables using the Pearson coefficient ranging from -1 to 1.,A t-test can be used to compare more than two groups.,0,11,17,0.647,10
S00002,train,DA012,Data Analysis,Visualization,medium,1,What is seaborn and how does it differ from matplotlib?,Seaborn is a high-level statistical visualization library built on matplotlib with easier syntax and better default aesthetics.,Box plots show spread and center of data but I forget what the whiskers mean.,1,15,17,0.882,10
S04301,train,DA022,Data Analysis,SQL,easy,0,What does the SELECT statement do in SQL?,"The SELECT statement retrieves data from one or more tables with optional filtering, sorting, and aggregation.",SQL allows you to run queries on database tables.,1,9,16,0.562,10
S04323,train,DA008,Data Analysis,Pandas,hard,2,What is a pivot table and how is it created in pandas?,"A pivot table reshapes data by aggregating values. It is created using pd.pivot_table() with index, columns, and aggfunc parameters.","A pandas DataFrame is a two-dimensional data structure with labeled axes (rows and columns), similar to a database table.",2,19,19,1,10
S01017,train,FE001,Front-End,HTML,easy,0,What is HTML?,HTML is the standard markup language used to create the structure and content of web pages.,"HTML forms collect user input via text fields, dropdowns, checkboxes, and buttons, then submit data to a server using the specified HTTP method.",2,23,16,1.438,10
S04421,train,DA008,Data Analysis,Pandas,hard,2,What is a pivot table and how is it created in pandas?,"A pivot table reshapes data by aggregating values. It is created using pd.pivot_table() with index, columns, and aggfunc parameters.",DataFrames are like database tables but stored in Python memory.,1,10,19,0.526,10
S03310,test,FE024,Front-End,JavaScript,medium,1,What is a callback function in JavaScript?,A callback is a function passed as an argument to another function and executed after that function completes.,"async/await is only available in Node.js, not in browsers.",0,9,18,0.5,10
S03842,train,FE030,Front-End,JavaScript,hard,2,What is the difference between localStorage and sessionStorage?,localStorage persists data with no expiration. sessionStorage stores data only for the page session and clears when the tab closes.,Promises allow chaining of async operations with .then() and .catch().,1,10,20,0.5,10
S01804,train,FE003,Front-End,HTML,easy,0,What is the purpose of the HTML head tag?,"The head tag contains metadata like title, charset, linked stylesheets, and scripts not displayed on the page.",iframe is deprecated and should never be used.,0,8,17,0.471,10
S05606,train,DA029,Data Analysis,EDA,hard,2,What is feature engineering?,"Feature engineering creates, transforms, or selects variables from raw data to improve machine learning model performance.",Data cleaning means making the dataset usable and consistent.,1,9,16,0.562,10
S02985,train,DA024,Data Analysis,SQL,medium,1,What is a JOIN in SQL? Name the types.,"A JOIN combines rows from two tables. Types include INNER JOIN, LEFT JOIN, RIGHT JOIN, and FULL OUTER JOIN.","SQL stands for Structured Query Language and is used to query relational databases with operations like SELECT, INSERT, UPDATE, and DELETE.",2,21,19,1.105,10
