track_id,lesson_id,level_id,topic_id,track,topic,subtopic,level,content_type,youtube_link,article_url,duration_minutes,description_en,project_idea
TRK-001,L0001,LVL-001,FE-T01,Front-End,HTML,What is HTML and How the Browser Works,beginner,explanation,https://youtu.be/qz0aGYrrlhU,https://developer.mozilla.org/en-US/docs/Learn/HTML/Introduction_to_HTML,60,Introduction to HTML from scratch,
TRK-001,L0002,LVL-001,FE-T01,Front-End,HTML,"Page Structure: DOCTYPE, html, head, body",beginner,explanation,https://youtu.be/UB1O30fR-EE,,35,Explaining HTML page structure,
TRK-001,L0003,LVL-001,FE-T01,Front-End,HTML,Tags and Attributes and How They're Written,beginner,explanation,https://youtu.be/dD2EISBDjWM,,35,Explaining tags and attributes,
TRK-001,L0004,LVL-001,FE-T01,Front-End,HTML,"Text Elements: h1-h6, p, strong, em",beginner,explanation,https://youtu.be/mOGdQHGS8S8,,30,Explaining text elements,
TRK-001,L0005,LVL-001,FE-T01,Front-End,HTML,Links: anchor tag and href,beginner,explanation,https://youtu.be/09oErCBjVns,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/a,25,Explaining anchor links,
TRK-001,L0006,LVL-001,FE-T01,Front-End,HTML,"Images: img tag, alt, and src",beginner,explanation,https://youtu.be/mOGdQHGS8S8,,25,Explaining image elements,
TRK-001,L0007,LVL-001,FE-T01,Front-End,HTML,"Lists: ul, ol, li",beginner,explanation,https://youtu.be/09oErCBjVns,,20,Explaining lists,
TRK-001,L0008,LVL-001,FE-T01,Front-End,HTML,"Tables: table, tr, td, th",beginner,explanation,https://youtu.be/dQw4w9WgXcQ,,30,Explaining tables,
TRK-001,L0009,LVL-001,FE-T01,Front-End,HTML,"Forms: form, input, button, select, textarea",beginner,explanation,https://youtu.be/fNcJuPIZ2WE,https://developer.mozilla.org/en-US/docs/Learn/Forms,45,Explaining Forms,
TRK-001,L0010,LVL-001,FE-T01,Front-End,HTML,"Input Types: text, email, password, number, date",beginner,explanation,https://youtu.be/fNcJuPIZ2WE,,30,Explaining input types,
TRK-001,L0011,LVL-001,FE-T01,Front-End,HTML,Semantic HTML5: header nav main section article footer,beginner,explanation,https://youtu.be/kGW8Al_cga4,https://web.dev/learn/html/semantic-html,40,Explaining semantic HTML5,
TRK-001,L0012,LVL-001,FE-T01,Front-End,HTML,div and span and When to Use Them,beginner,explanation,https://youtu.be/kGW8Al_cga4,,25,Explaining div and span elements,
TRK-001,L0013,LVL-001,FE-T01,Front-End,HTML,Article: Complete HTML Reference - MDN,beginner,article,,https://developer.mozilla.org/en-US/docs/Web/HTML/Element,0,Reference for all HTML elements,
TRK-001,L0014,LVL-001,FE-T02,Front-End,CSS,What is CSS and How It Connects to HTML,beginner,explanation,https://youtu.be/1PnVor36_40,https://developer.mozilla.org/en-US/docs/Learn/CSS/First_steps,40,Introduction to CSS,
TRK-001,L0015,LVL-001,FE-T02,Front-End,CSS,"Selectors: element, class, id",beginner,explanation,https://youtu.be/l1mER1bV0N0,https://web.dev/learn/css/selectors,35,Explaining CSS selectors,
TRK-001,L0016,LVL-001,FE-T02,Front-End,CSS,"Advanced Selectors: combinators, pseudo-classes",beginner,explanation,https://youtu.be/0VDx1570X3U,,35,Explaining advanced selectors,
TRK-001,L0017,LVL-001,FE-T02,Front-End,CSS,"Colors: color, background-color, opacity",beginner,explanation,https://youtu.be/HXgRbp3UNMs,,30,Explaining colors and backgrounds,
TRK-001,L0018,LVL-001,FE-T02,Front-End,CSS,"Typography: font-family, size, weight, line-height",beginner,explanation,https://youtu.be/8n04KqQHe_0,,40,Explaining typography and fonts,
TRK-001,L0019,LVL-001,FE-T02,Front-End,CSS,"Box Model: margin, padding, border, width, height",beginner,explanation,https://youtu.be/rIO5326FgPE,https://web.dev/learn/css/box-model,30,Explaining the box model,
TRK-001,L0020,LVL-001,FE-T02,Front-End,CSS,"Display: block, inline, inline-block, none",beginner,explanation,https://youtu.be/jx5jmI0UlXU,,35,Explaining the display property,
TRK-001,L0021,LVL-001,FE-T02,Front-End,CSS,"Position: static, relative, absolute, fixed, sticky",beginner,explanation,https://youtu.be/jx5jmI0UlXU,https://web.dev/learn/css/layout,45,Explaining positioning,
TRK-001,L0022,LVL-001,FE-T02,Front-End,CSS,Complete Flexbox: container and items,beginner,explanation,https://youtu.be/3YW65K6LcIA,https://css-tricks.com/snippets/css/a-guide-to-flexbox,55,Explaining Flexbox layout,
TRK-001,L0023,LVL-001,FE-T02,Front-End,CSS,"Complete CSS Grid: rows, columns, areas",beginner,explanation,https://youtu.be/EiNiSFIPIQE,https://css-tricks.com/snippets/css/complete-guide-grid,50,Explaining CSS Grid layout,
TRK-001,L0024,LVL-001,FE-T02,Front-End,CSS,Responsive Design: Media Queries,beginner,explanation,https://youtu.be/srvUrASNj0s,https://web.dev/learn/design/media-queries,45,Explaining responsive design,
TRK-001,L0025,LVL-001,FE-T02,Front-End,CSS,Mobile First Approach,beginner,explanation,https://youtu.be/0ohtVzCSHqs,,30,Explaining mobile first approach,
TRK-001,L0026,LVL-001,FE-T02,Front-End,CSS,Basic Transitions and Animations,beginner,explanation,https://youtu.be/SgmNxE9lWcY,https://web.dev/learn/css/animations,40,Explaining animations and transitions,
TRK-001,L0027,LVL-001,FE-T02,Front-End,CSS,"Pseudo-classes: hover, focus, active",beginner,explanation,https://youtu.be/0VDx1570X3U,,30,Explaining pseudo-classes,
TRK-001,L0028,LVL-001,FE-T02,Front-End,CSS,"Pseudo-elements: before, after",beginner,explanation,https://youtu.be/0VDx1570X3U,,25,Explaining pseudo-elements,
TRK-001,L0029,LVL-001,FE-T02,Front-End,CSS,Project: Full Portfolio Page with HTML & CSS,beginner,project,https://youtu.be/oYRda7UtuhA,,90,Portfolio page project,
